#TEXT/SIMPLE
# elo ehi spectrum
7.1999999964349e-01 7.2999999963235e-01 2.2194922897030e-05
7.2999999963235e-01 7.3999999962120e-01 2.1400620890445e-05
7.3999999962120e-01 7.4999999961006e-01 2.1175787704680e-05
7.4999999961006e-01 7.5999999959892e-01 2.0946545066391e-05
7.5999999959892e-01 7.6999999958778e-01 2.0713648940650e-05
7.6999999958778e-01 7.7999999957664e-01 2.0477787230864e-05
7.7999999957664e-01 7.8999999956550e-01 2.0239591063859e-05
7.8999999956550e-01 7.9999999955436e-01 1.9998790744376e-05
7.9999999955436e-01 8.0999999954322e-01 1.9756798163574e-05
8.0999999954322e-01 8.1999999953208e-01 1.9514910127796e-05
8.1999999953208e-01 8.2999999952093e-01 1.9272699800703e-05
8.2999999952093e-01 8.3999999950979e-01 1.9030559744250e-05
8.3999999950979e-01 8.4999999949865e-01 1.8788843187748e-05
8.4999999949865e-01 8.5999999948751e-01 1.8490997828737e-05
8.5999999948751e-01 8.6999999947637e-01 1.8196757974543e-05
8.6999999947637e-01 8.7999999946523e-01 1.7666309949717e-05
8.7999999946523e-01 8.8999999945409e-01 1.7156025995819e-05
8.8999999945409e-01 8.9999999944295e-01 1.6943426394864e-05
8.9999999944295e-01 9.0999999943181e-01 1.6731988118780e-05
9.0999999943181e-01 9.1999999942067e-01 1.6521892483079e-05
9.1999999942067e-01 9.2999999940952e-01 1.6313296815455e-05
9.2999999940952e-01 9.3999999939838e-01 1.6106265239292e-05
9.3999999939838e-01 9.4999999938724e-01 1.5901009307588e-05
9.4999999938724e-01 9.5999999937610e-01 1.5697721999166e-05
9.5999999937610e-01 9.6999999936496e-01 1.5496420079039e-05
9.6999999936496e-01 9.7999999935382e-01 1.5297191850761e-05
9.7999999935382e-01 9.8999999934268e-01 1.5100113234219e-05
9.8999999934268e-01 9.9999999933154e-01 1.4905248791489e-05
9.9999999933154e-01 1.009999999320 1.4712658126062e-05
1.009999999320 1.019999999309 1.4522386601729e-05
1.019999999309 1.029999999298 1.4333042576539e-05
1.029999999298 1.039999999287 1.4146148955478e-05
1.039999999287 1.049999999276 1.3963123296168e-05
1.049999999276 1.059999999265 1.3782532877570e-05
1.059999999265 1.069999999254 1.3604392713414e-05
1.069999999254 1.079999999242 1.3425880351703e-05
1.079999999242 1.089999999231 1.3249953721197e-05
1.089999999231 1.099999999220 1.3079364379887e-05
1.099999999220 1.109999999209 1.2911230825470e-05
1.109999999209 1.119999999198 1.2745547161157e-05
1.119999999198 1.129999999187 1.2582303180982e-05
1.129999999187 1.139999999176 1.2421486474293e-05
1.139999999176 1.149999999164 1.2263082624096e-05
1.149999999164 1.159999999153 1.2107073710639e-05
1.159999999153 1.169999999142 1.1953440268076e-05
1.169999999142 1.179999999131 1.1802162246779e-05
1.179999999131 1.189999999120 1.1653215886246e-05
1.189999999120 1.199999999109 1.1506577971600e-05
1.199999999109 1.209999999098 1.1362222720998e-05
1.209999999098 1.219999999086 1.1220125066907e-05
1.219999999086 1.229999999075 1.1080256875523e-05
1.229999999075 1.239999999064 1.0942590171206e-05
1.239999999064 1.249999999053 1.0807097157978e-05
1.249999999053 1.259999999042 1.0673747366443e-05
1.259999999042 1.269999999031 1.0542512128611e-05
1.269999999031 1.279999999020 1.0413360994324e-05
1.279999999020 1.289999999008 1.0286263953565e-05
1.289999999008 1.299999998997 1.0161190760567e-05
1.299999998997 1.309999998986 1.0038109648459e-05
1.309999998986 1.319999998975 9.8837296617023e-06
1.319999998975 1.329999998964 9.7327559443266e-06
1.329999998964 1.339999998953 9.6173543776210e-06
1.339999998953 1.349999998942 9.5037598906543e-06
1.349999998942 1.359999998930 9.3919444688098e-06
1.359999998930 1.369999998919 9.2818794011792e-06
1.369999998919 1.379999998908 9.1735377727902e-06
1.379999998908 1.389999998897 9.0668907915327e-06
1.389999998897 1.399999998886 8.9619114691060e-06
1.399999998886 1.409999998875 8.8585716242062e-06
1.409999998875 1.419999998864 8.7568442766598e-06
1.419999998864 1.429999998852 8.6567030277088e-06
1.429999998852 1.439999998841 8.5581198141548e-06
1.439999998841 1.449999998830 8.4610694431871e-06
1.449999998830 1.459999998819 8.3655250832131e-06
1.459999998819 1.469999998808 8.2714610720026e-06
1.469999998808 1.479999998797 8.1788518047932e-06
1.479999998797 1.489999998786 8.0876717512477e-06
1.489999998786 1.499999998774 7.9978970200046e-06
1.499999998774 1.509999998763 7.9095017070829e-06
1.509999998763 1.519999998752 7.8224630746798e-06
1.519999998752 1.529999998741 7.7367559048224e-06
1.529999998741 1.539999998730 7.6523575808721e-06
1.539999998730 1.549999998719 7.5692445508750e-06
1.549999998719 1.559999998708 7.4873947976801e-06
1.559999998708 1.569999998696 7.4051896311522e-06
1.569999998696 1.579999998685 7.3242601976291e-06
1.579999998685 1.589999998674 7.2461442083707e-06
1.589999998674 1.599999998663 7.1692014517035e-06
1.599999998663 1.609999998652 7.0934107511446e-06
1.609999998652 1.619999998641 7.0187518952884e-06
1.619999998641 1.629999998630 6.9452051548268e-06
1.629999998630 1.639999998619 6.8727503957833e-06
