#TEXT/SIMPLE
# elo ehi spectrum
9.3999999950979e-01 9.4999999949865e-01 1.0044293635840e-05
9.4999999949865e-01 9.5999999948751e-01 9.9056380983065e-06
9.5999999948751e-01 9.6999999947637e-01 9.7703113197719e-06
9.6999999947637e-01 9.7999999946523e-01 9.6382001172448e-06
9.7999999946523e-01 9.8999999945409e-01 9.5091962643819e-06
9.8999999945409e-01 9.9999999944295e-01 9.3831962268616e-06
9.9999999944295e-01 1.009999999432 9.2601009143689e-06
1.009999999432 1.019999999421 9.1398154480088e-06
1.019999999421 1.029999999410 9.0222489420335e-06
1.029999999410 1.039999999398 8.9073142988826e-06
1.039999999398 1.049999999387 8.7949280165991e-06
1.049999999387 1.059999999376 8.6850100077675e-06
1.059999999376 1.069999999365 8.5774834291804e-06
1.069999999365 1.079999999354 8.4722745215093e-06
1.079999999354 1.089999999343 8.3693124582962e-06
1.089999999343 1.099999999332 8.2685292036498e-06
1.099999999332 1.109999999320 8.1698593780788e-06
1.109999999320 1.119999999309 8.0732401319046e-06
1.119999999309 1.129999999298 7.9786110257907e-06
1.129999999298 1.139999999287 7.8859139179061e-06
1.139999999287 1.149999999276 7.7950928573158e-06
1.149999999276 1.159999999265 7.7060939831898e-06
1.159999999265 1.169999999254 7.6188654294807e-06
1.169999999254 1.179999999242 7.5333572347186e-06
1.179999999242 1.189999999231 7.4495212566091e-06
1.189999999231 1.199999999220 7.3673110911447e-06
1.199999999220 1.209999999209 7.2866819959541e-06
1.209999999209 1.219999999198 7.2075908176341e-06
1.219999999198 1.229999999187 7.1299959228199e-06
1.229999999187 1.239999999176 7.0538571327891e-06
1.239999999176 1.249999999164 6.9791356613740e-06
1.249999999164 1.259999999153 6.9057940559939e-06
1.259999999153 1.269999999142 6.8337961416461e-06
1.269999999142 1.279999999131 6.7631069676463e-06
1.279999999131 1.289999999120 6.6936927570071e-06
1.289999999120 1.299999999109 6.6255208582710e-06
1.299999999109 1.309999999098 6.5585596996772e-06
1.309999999098 1.319999999086 6.4927787455339e-06
1.319999999086 1.329999999075 6.4281484546562e-06
1.329999999075 1.339999999064 6.3646402407882e-06
1.339999999064 1.349999999053 6.3022264348607e-06
1.349999999053 1.359999999042 6.2408802490300e-06
1.359999999042 1.369999999031 6.1805757423612e-06
1.369999999031 1.379999999020 6.1212877880985e-06
1.379999999020 1.389999999008 6.0629920424229e-06
1.389999999008 1.399999998997 6.0056649146250e-06
1.399999998997 1.409999998986 5.9492835386179e-06
1.409999998986 1.419999998975 5.8938257457213e-06
1.419999998975 1.429999998964 5.8392700386492e-06
1.429999998964 1.439999998953 5.7855955666482e-06
1.439999998953 1.449999998942 5.7327821017150e-06
1.449999998942 1.459999998930 5.6808100158489e-06
1.459999998930 1.469999998919 5.6296602592859e-06
1.469999998919 1.479999998908 5.5793143396627e-06
1.479999998908 1.489999998897 5.5297543020662e-06
1.489999998897 1.499999998886 5.4809627099300e-06
1.499999998886 1.509999998875 5.4329226267228e-06
1.509999998875 1.519999998864 5.3856175984128e-06
